日期,開盤價,最高價,最低價,收盤價,成交量
2007/04/23,53.2,53.4,52.0,52.0,14345778
2007/04/24,52.2,54.7,52.1,53.8,35390720
2007/04/25,54.0,54.6,53.5,54.0,29690183
2007/04/26,55.0,56.3,54.0,54.1,40980666
2007/04/27,55.0,55.1,53.9,54.3,21623585
2007/04/30,54.3,54.6,52.7,53.0,15331402
2007/05/02,54.0,54.3,52.8,52.9,13408916
2007/05/03,53.3,53.5,51.0,52.5,15028408
2007/05/04,53.1,53.4,52.7,53.4,11002367
2007/05/07,54.2,55.5,53.8,54.6,23198560
2007/05/08,54.8,54.8,54.0,54.0,8971507
2007/05/09,54.0,55.4,53.7,53.8,13862506
2007/05/10,54.5,54.6,53.7,54.0,8956170
2007/05/11,53.5,54.0,53.3,53.4,6732713
2007/05/14,53.7,53.9,52.1,52.1,12904632
2007/05/15,51.8,52.5,51.4,51.6,9193339
2007/05/16,51.6,52.5,51.6,52.2,8371661
2007/05/17,52.5,52.7,52.2,52.4,4959744
2007/05/18,52.4,52.7,51.9,52.0,4601990
2007/05/21,52.6,53.5,52.1,52.9,6933758
2007/05/22,53.4,53.8,52.6,52.7,7509607
2007/05/23,52.8,53.4,52.6,52.7,8224275
2007/05/24,52.7,53.6,52.1,52.7,11966384
2007/05/25,52.5,53.2,52.4,52.8,7127145
2007/05/28,53.0,53.3,52.1,52.1,5816312
2007/05/29,52.6,52.7,51.8,51.8,4642097
2007/05/30,51.9,52.2,51.6,51.6,5768737
2007/05/31,52.1,52.6,51.9,52.2,6454682
2007/06/01,52.7,53.9,52.7,53.5,15452812
2007/06/04,54.8,55.0,54.0,54.0,15336741
2007/06/05,54.3,54.3,52.7,53.1,15689805
2007/06/06,53.5,54.3,53.3,53.5,17518615
2007/06/07,53.1,53.7,52.8,53.5,9803589
2007/06/08,53.0,54.2,53.0,53.4,11951861
2007/06/11,53.9,54.4,53.5,54.0,11940154
2007/06/12,54.5,56.1,54.0,55.0,37347943
2007/06/13,55.5,56.5,55.3,55.5,27749489
2007/06/14,56.4,56.7,55.6,55.6,21921255
2007/06/15,56.5,57.5,55.2,57.5,24973478
2007/06/20,58.9,59.3,57.0,57.0,27855413
2007/06/21,58.0,59.5,57.5,59.3,34360474
2007/06/22,60.0,60.2,58.5,59.3,22802782
2007/06/23,59.3,59.8,58.6,58.9,11792883
2007/06/25,58.9,59.3,58.5,58.5,9981427
2007/06/26,58.3,58.8,56.6,57.1,16928321
2007/06/27,57.1,58.0,56.9,57.0,7782866
2007/06/28,57.5,57.5,56.0,56.3,10807618
2007/06/29,56.8,57.7,56.4,57.0,9816869
2007/07/02,57.5,57.5,56.6,57.0,4493169
2007/07/03,57.5,58.4,57.3,57.6,9934900
2007/07/04,57.8,58.1,56.7,56.8,9970543
2007/07/05,57.2,58.5,56.8,58.2,21084033
2007/07/06,58.1,58.3,57.1,57.8,11543908
2007/07/09,58.2,59.2,58.0,58.4,17260647
2007/07/10,58.8,58.9,58.0,58.1,16755308
2007/07/11,58.0,58.6,57.5,57.5,12461099
2007/07/12,58.4,58.7,57.6,57.6,11836106
2007/07/13,58.4,58.4,57.0,57.0,12419992
2007/07/16,60.0,60.0,57.9,58.3,24227317
2007/07/17,58.9,58.9,58.0,58.5,8631198
2007/07/18,59.2,59.3,58.6,58.6,13297988
2007/07/19,59.5,62.0,59.3,61.1,30550986
2007/07/20,61.9,62.5,60.3,60.5,17019602
2007/07/23,60.5,61.8,60.0,60.1,15406213
2007/07/24,60.1,60.5,58.9,59.0,20353116
2007/07/25,58.9,59.9,58.3,59.0,16331853
2007/07/26,59.4,59.7,58.3,58.3,11930998
2007/07/27,57.0,59.7,57.0,57.6,15351344
2007/07/30,58.2,59.1,57.6,58.1,10049087
2007/07/31,58.9,59.3,58.4,58.4,19493560
2007/08/01,54.3,54.8,52.6,52.6,18850783
2007/08/02,53.9,53.9,51.4,53.0,12628621
2007/08/03,53.8,55.7,53.5,54.7,14717481
2007/08/06,54.0,55.4,53.8,55.0,5796169
2007/08/07,56.8,56.8,55.0,55.0,8621689
2007/08/08,55.7,56.8,55.5,55.9,8956543
2007/08/09,56.5,56.5,55.1,55.2,12868369
2007/08/10,53.5,54.1,52.5,52.7,13102808
2007/08/13,52.8,53.2,51.8,51.8,6694210
2007/08/14,52.0,53.1,51.8,52.0,4712422
2007/08/15,51.8,52.4,48.8,49.3,8915583
2007/08/16,49.0,49.3,46.1,46.6,13539610
2007/08/17,47.0,47.6,45.2,46.35,7667980
2007/08/20,49.2,49.2,48.15,49.1,4225125
2007/08/21,49.1,49.1,47.2,47.55,4914640
2007/08/22,47.7,48.6,47.7,47.9,4248768
2007/08/23,48.5,50.5,48.5,49.0,8283529
2007/08/24,48.9,49.05,48.2,48.3,4738731
2007/08/27,49.4,49.4,48.35,48.4,3616367
2007/08/28,48.8,48.95,48.2,48.2,2432079
2007/08/29,47.7,47.7,46.3,47.5,4907244
2007/08/30,48.35,48.6,47.6,47.7,4546866
2007/08/31,48.45,48.5,47.75,48.5,3869592
2007/09/03,49.05,49.2,48.5,48.75,3121372
2007/09/04,49.0,49.3,48.55,48.8,3842295
2007/09/05,49.2,49.8,48.6,48.9,5478021
2007/09/06,48.9,49.4,48.5,49.2,5662477
2007/09/07,49.4,50.4,49.4,49.6,9676487
2007/09/10,49.0,49.4,48.9,49.2,2323104
2007/09/11,49.8,49.8,48.65,48.65,4181838
2007/09/12,49.0,49.65,49.0,49.1,4214536
2007/09/13,49.5,49.65,49.0,49.0,2846394
2007/09/14,49.3,49.4,49.0,49.0,2177849
2007/09/17,49.1,49.2,48.05,48.05,3851410
2007/09/19,48.95,48.95,46.45,46.45,5336594
2007/09/20,47.05,47.8,46.5,47.0,4315149
2007/09/21,47.1,47.4,46.0,46.5,8949850
2007/09/26,46.7,46.8,45.8,46.05,9907761
2007/09/27,46.2,49.25,46.15,49.25,25707161
2007/09/28,49.95,51.3,49.3,50.2,24263832
2007/09/29,51.0,52.5,50.5,51.3,17436069
2007/10/01,52.0,52.7,50.8,50.8,8757367
2007/10/02,52.5,52.5,51.0,51.9,12724280
2007/10/03,51.9,53.0,51.5,52.0,11563075
2007/10/04,52.4,53.3,51.8,52.6,13185293
2007/10/05,52.6,53.1,51.6,51.9,7298464
2007/10/08,52.5,54.4,52.5,53.2,13656344
2007/10/09,54.1,56.9,53.7,53.8,36533761
2007/10/11,54.9,55.3,53.0,53.4,10677705
2007/10/12,53.4,53.9,52.0,52.0,7011112
2007/10/15,52.9,54.0,52.4,53.1,9323969
2007/10/16,52.8,53.9,52.3,52.4,7470426
2007/10/17,52.4,52.9,51.0,51.5,7607788
