日期,開盤價,最高價,最低價,收盤價,成交量
2007/04/23,26.2,26.8,26.0,26.0,20346
2007/04/24,26.55,26.55,25.8,25.8,24491
2007/04/25,26.5,26.8,26.0,26.2,51000
2007/04/26,26.6,26.6,26.2,26.2,21300
2007/04/27,26.2,26.5,26.2,26.2,14000
2007/04/30,26.2,26.2,25.8,26.1,45000
2007/05/02,26.4,27.0,26.25,26.35,13326
2007/05/03,26.75,26.75,25.5,25.5,43000
2007/05/04,25.6,26.0,25.5,25.5,11033
2007/05/07,25.55,25.95,25.55,25.65,24048
2007/05/08,25.7,25.7,25.4,25.5,37017
2007/05/09,25.6,25.6,24.7,24.7,64055
2007/05/10,25.2,25.2,25.1,25.15,39123
2007/05/11,25.7,25.7,25.15,25.15,16000
2007/05/14,25.7,25.95,25.5,25.5,24000
2007/05/15,26.0,26.0,25.5,25.55,12502
2007/05/16,26.5,27.3,26.5,27.3,69623
2007/05/17,29.1,29.2,27.5,28.25,281650
2007/05/18,27.5,28.3,26.6,26.6,63002
2007/05/21,26.8,27.25,26.6,27.0,23000
2007/05/22,26.4,26.55,26.3,26.3,29011
2007/05/23,25.8,26.3,25.5,25.6,87291
2007/05/24,25.6,25.9,25.6,25.75,42000
2007/05/25,25.65,26.3,25.6,26.0,42631
2007/05/28,26.0,27.3,25.9,26.6,108000
2007/05/29,27.8,27.8,26.4,26.4,48000
2007/05/30,26.2,26.5,25.8,26.0,60000
2007/05/31,26.2,26.8,26.15,26.2,20000
2007/06/01,26.2,26.6,26.0,26.0,19170
2007/06/04,26.2,26.2,25.7,26.0,18241
2007/06/05,26.0,26.05,25.85,26.05,49000
2007/06/06,26.05,27.2,26.05,26.5,292830
2007/06/07,27.2,27.2,26.2,26.5,84221
2007/06/08,26.8,26.8,26.0,26.0,81069
2007/06/11,26.0,26.0,25.6,25.8,83950
2007/06/12,25.8,26.0,25.65,25.7,75357
2007/06/13,26.0,26.0,25.6,25.7,79375
2007/06/14,26.0,26.3,25.7,25.75,54424
2007/06/15,26.0,26.0,25.65,25.65,23000
2007/06/20,25.0,25.65,25.0,25.6,53769
2007/06/21,25.85,25.85,25.1,25.15,20502
2007/06/22,25.2,26.0,25.0,25.15,40558
2007/06/23,25.25,25.6,25.2,25.2,21003
2007/06/25,25.4,25.4,25.15,25.2,66137
2007/06/26,25.8,25.8,25.15,25.15,78079
2007/06/27,25.2,26.2,25.2,25.7,61176
2007/06/28,25.55,25.9,25.45,25.45,66836
2007/06/29,25.4,25.85,25.2,25.2,47139
2007/07/02,25.45,25.45,25.0,25.35,20097
2007/07/03,25.35,25.35,25.0,25.1,61105
2007/07/04,25.45,26.5,25.3,26.25,142248
2007/07/05,26.25,26.25,25.2,25.3,74368
2007/07/06,25.4,25.4,25.3,25.35,25027
2007/07/09,25.3,25.7,25.0,25.3,81478
